Week,Weighted Sum
2020-12-27,51.12757872668773
2021-01-03,55.8576732132718
2021-01-10,58.33147466041609
2021-01-17,59.67104401123939
2021-01-24,65.53951985091794
2021-01-31,62.97082417342437
2021-02-07,63.06657737271973
2021-02-14,64.07858837916928
2021-02-21,67.90503297567224
2021-02-28,67.77112117285658
2021-03-07,64.83657751830769
2021-03-14,63.708591145340456
2021-03-21,65.80384934558214
2021-03-28,63.510358583138
2021-04-04,65.32237541310583
2021-04-11,68.43941357170935
2021-04-18,68.1337953324501
2021-04-25,71.06675207826808
2021-05-02,67.74806004047345
2021-05-09,64.32857746007251
2021-05-16,64.72579964185363
2021-05-23,62.22422001252057
2021-05-30,60.38650690814856
2021-06-06,59.97012535123094
2021-06-13,62.303696478227316
2021-06-20,63.5693217057085
2021-06-27,60.40375908104881
2021-07-04,58.43153726323758
2021-07-11,62.19494227437506
2021-07-18,61.0313305283387
2021-07-25,60.764220303696476
2021-08-01,62.45593780482479
2021-08-08,61.15014486001718
2021-08-15,60.060011355860645
2021-08-22,60.407093045263295
2021-08-29,59.024022012899096
2021-09-05,61.29839707659382
2021-09-12,65.96843653093016
2021-09-19,65.84966587563878
2021-09-26,67.66577372719729
2021-10-03,68.09275408738189
2021-10-10,69.37700001455879
2021-10-17,69.99548677333412
2021-10-24,71.36806091400119
2021-10-31,69.51967621238371
2021-11-07,71.71147378688835
2021-11-14,71.13691091472913
2021-11-21,58.52245694236173
2021-11-28,71.5156725435672
2021-12-05,68.28533783685414
2021-12-12,67.28191651986546
2021-12-19,50.29349076244413
2021-12-26,52.8962831394587
2022-01-02,63.3147611629566
2022-01-09,66.59551297916637
2022-01-16,63.1590111665963
2022-01-23,70.9007672485332
2022-01-30,74.02811303448978
2022-02-06,80.30066824872247
2022-02-13,75.48616186469056
2022-02-20,72.50635491432149
2022-02-27,76.74117373010904
2022-03-06,72.26550875711563
2022-03-13,75.2416468909692
2022-03-20,76.82990958987872
2022-03-27,84.19338448323555
2022-04-03,79.05482842459271
2022-04-10,77.19002140142968
2022-04-17,80.9011748948127
2022-04-24,83.14631589674902
2022-05-01,82.2146840013394
2022-05-08,79.5518220332814
2022-05-15,77.39914394281305
2022-05-22,72.94856377480455
2022-05-29,67.35462314557341
2022-06-05,69.34900345043458
2022-06-12,66.7124783437914
2022-06-19,67.96328271725363
2022-06-26,68.3993186483614
2022-07-03,64.66252711575699
2022-07-10,69.98615458529271
2022-07-17,70.10683244282033
2022-07-24,70.23467322783058
2022-07-31,68.77637689810298
2022-08-07,66.71728274637123
2022-08-14,66.36909458849564
2022-08-21,67.90571723906999
2022-08-28,67.15522587971523
2022-09-04,67.55784937469971
2022-09-11,73.79336701268072
2022-09-18,73.58900519749005
2022-09-25,73.16958085227189
2022-10-02,74.6600521204886
2022-10-09,77.02818582846827
2022-10-16,75.36753679735611
2022-10-23,75.69484764220304
2022-10-30,74.14382634268495
2022-11-06,72.60649031112146
2022-11-13,74.40678731055367
2022-11-20,58.60164223215456
2022-11-27,75.32071571039643
2022-12-04,77.0833636641577
2022-12-11,75.21705708503792
2022-12-18,55.757333993332075
2022-12-25,53.45609795157745
2023-01-01,62.40122585059763
2023-01-08,70.86428290651799
2023-01-15,70.18249450405463
2023-01-22,74.53158530726338
2023-01-29,76.27888829036063
2023-02-05,80.2656106686855
2023-02-12,77.75143768107503
2023-02-19,77.50268609780598
2023-02-26,79.63132761657955
2023-03-05,79.63958245373944
2023-03-12,74.95512979166364
2023-03-19,79.65131684307073
2023-03-26,78.04992211044303
2023-04-02,75.77647880967287
2023-04-09,78.85796438918574
2023-04-16,81.6449837669428
2023-04-23,85.01987275612561
2023-04-30,80.73175418929345
2023-05-07,76.9564983184591
2023-05-14,74.41495479493936
2023-05-21,69.53408942012317
2023-05-28,67.51921033092142
2023-06-04,68.09351114475811
2023-06-11,71.15675455326335
2023-06-18,66.47738291088562
2023-06-25,67.08997335740388
2023-07-02,62.50034213169886
2023-07-09,66.96319536447945
2023-07-16,65.5526955610232
2023-07-23,68.20260020091139
2023-07-30,65.06861560411723
2023-08-06,66.79364362979894
2023-08-13,65.0582060651943
2023-08-20,64.36993899864602
2023-08-27,64.4628095563935
2023-09-03,66.06219517521511
2023-09-10,73.41326597463859
2023-09-17,73.40716583924177
2023-09-24,77.17092026147597
2023-10-01,74.22659309621909
2023-10-08,76.84650661697265
2023-10-15,74.80003494110967
2023-10-22,76.6693551909386
2023-10-29,76.0703772183965
2023-11-05,77.07818073288976
2023-11-12,79.41959905076652
2023-11-19,63.520462387351316
2023-11-26,81.30678294291496
2023-12-03,84.12061962234483
2023-12-10,75.98180150537948
2023-12-17,60.453040604481195
2023-12-24,53.41167906590767
2023-12-31,63.29427693741174
2024-01-07,68.18757552375267
2024-01-14,66.00247499526839
2024-01-21,75.65054522689884
2024-01-28,77.96842197213446
2024-02-04,79.28028593474747
2024-02-11,75.3179932156012
2024-02-18,77.12637034664493
2024-02-25,79.99109001703378
2024-03-03,78.22589427402566
2024-03-10,78.58207521073857
2024-03-17,79.31484851573077
2024-03-24,73.01968349178156
2024-03-31,75.11933844832356
2024-04-07,76.09703437331663
2024-04-14,83.14392825425482
2024-04-21,86.44217974289167
2024-04-28,85.01418026700831
2024-05-05,79.27586006085576
2024-05-12,70.71805436254313
2024-05-19,72.19577212572975
2024-05-26,68.68989765166626
2024-06-02,71.51209107982588
2024-06-09,72.41183921266034
2024-06-16,69.5844191768457
2024-06-23,71.76023119367565
2024-06-30,66.40825774891901
2024-07-07,69.43789945695691
2024-07-14,68.99075516473278
